Lg;Korea;45092;67.0;57.0;60.0;85.0;B;9;50;14;1400
Whirlpool;Stany Zjednoczone;845963;80.0;65.0;67.0;88.0;B;8;48;16;1400
Samsung;Korea Poludniowa;456456;70.0;55.0;60.0;85.0;A;9;50;6;1400
Whirlpool;Stany Zjednoczone;45686;64.0;59.0;63.0;88.0;D;7;44;12;1400
Candy;Wlochy;32856;65.0;55.0;64.5;88.0;A;8;44;14;1400
Lg;Korea;87645;67.0;66.0;63.0;88.0;B;8;43;15;1400
Candy;Wlochy;12378;62.0;44.0;65.0;89.0;D;6;40;10;1200
Whirlpool;Stany Zjednoczone;5864;66.0;59.0;63.0;87.0;D;6;43;11;1000
Lg;Korea;87645;76.0;54.0;63.0;88.0;E;7;44;14;1200
Bosch;Niemcy;68714;68.0;65.0;63.0;88.0;C;9;44;16;1400
